"Date","Open","High","Low","Close"
"31 Dec 2021","8924.55","8988.75","8905.4","8968.70"
"30 Dec 2021","8875.45","8933.4","8846.9","8905.75"
"29 Dec 2021","8731.25","8884.9","8716.4","8865.05"
"28 Dec 2021","8641.85","8714.9","8618","8701.20"
"27 Dec 2021","8504.2","8628.5","8487.6","8620.45"
"24 Dec 2021","8616.1","8616.35","8488.95","8499.35"
"23 Dec 2021","8573.2","8612.85","8558.95","8593.05"
"22 Dec 2021","8440.9","8543.2","8381.45","8531.75"
"21 Dec 2021","8341.7","8414.85","8315.05","8399.75"
"20 Dec 2021","8325.75","8364.85","8190.45","8310.30"
"17 Dec 2021","8540.8","8545.45","8335.9","8354.50"
"16 Dec 2021","8657.55","8659.8","8479.55","8532.00"
"15 Dec 2021","8629.25","8636.4","8536.05","8598.85"
"14 Dec 2021","8521.2","8643.05","8510.4","8628.55"
"13 Dec 2021","8621","8636.15","8525.8","8547.35"
"10 Dec 2021","8553.7","8618.7","8550.5","8562.25"
"09 Dec 2021","8625.55","8627.4","8536.1","8563.90"
"08 Dec 2021","8492.4","8595.2","8480.7","8581.85"
"07 Dec 2021","8465.6","8496.3","8388.3","8459.60"
"06 Dec 2021","8623.65","8625.75","8421.75","8440.00"
"03 Dec 2021","8736.95","8745.7","8593.4","8602.30"
"02 Dec 2021","8678.25","8747.5","8662.75","8704.60"
"01 Dec 2021","8831.35","8864.1","8598.3","8628.55"
"30 Nov 2021","8798.75","8875.95","8734.6","8792.05"
"29 Nov 2021","8947.5","9003.1","8751.35","8788.85"
"26 Nov 2021","8659.2","8961.65","8643.8","8855.80"
"25 Nov 2021","8567.2","8721.4","8538.45","8703.40"
"24 Nov 2021","8633.3","8640.35","8545.9","8566.15"
"23 Nov 2021","8443.5","8642.95","8407.7","8617.85"
"22 Nov 2021","8679.25","8687","8429.7","8472.40"
"18 Nov 2021","8759.1","8769.8","8611.55","8663.60"
"17 Nov 2021","8745.15","8852.05","8715.1","8771.80"
"16 Nov 2021","8867.85","8871.1","8737.55","8749.50"
"15 Nov 2021","8696.75","8869.35","8692.9","8847.25"
"12 Nov 2021","8656.95","8675.4","8580.15","8662.95"
"11 Nov 2021","8686.85","8692","8575.15","8595.85"
"10 Nov 2021","8660.5","8729.35","8645.65","8703.85"
"09 Nov 2021","8676.85","8764.55","8651.45","8678.05"
"08 Nov 2021","8672.75","8675.6","8513.9","8634.95"
"04 Nov 2021","8700.45","8702.15","8680.95","8690.90"
"03 Nov 2021","8709.25","8724.05","8607.45","8652.95"
"02 Nov 2021","8744.5","8750.1","8619.1","8685.60"
"01 Nov 2021","8658.15","8751.9","8593.6","8735.90"
"29 Oct 2021","8542.25","8754","8447.65","8612.75"
"28 Oct 2021","8745.45","8769.65","8538.65","8572.40"
"27 Oct 2021","8695.65","8811.8","8689.3","8746.55"
"26 Oct 2021","8650.35","8700.85","8616.4","8676.75"
"25 Oct 2021","8599.4","8643.45","8410","8618.45"
"22 Oct 2021","8778.6","8783.05","8551.1","8594.30"
"21 Oct 2021","8843.3","8849.7","8665.9","8748.95"
"20 Oct 2021","8887.45","8917.75","8731.55","8767.95"
"19 Oct 2021","9037.6","9071.8","8885.2","8900.40"
"18 Oct 2021","9133.25","9142.15","8996.45","9013.30"
"14 Oct 2021","9095.55","9136.95","9075","9087.60"
"13 Oct 2021","9070.9","9102.55","9035","9074.80"
"12 Oct 2021","9040.55","9084.7","8964.6","9037.35"
"11 Oct 2021","9010.55","9057.6","8961.85","9031.70"
"08 Oct 2021","9039.4","9055.7","8939","8968.30"
"07 Oct 2021","8994.65","9021.1","8957.1","9001.20"
"06 Oct 2021","9106","9112.05","8916.15","8932.30"
"05 Oct 2021","9169.4","9182.35","9030.6","9098.30"
"04 Oct 2021","9060.15","9219.95","9057.15","9163.30"
"01 Oct 2021","8951.65","9046","8931.05","9034.10"
"30 Sep 2021","8964","9055.6","8935.35","8978.40"
"29 Sep 2021","8851.3","9006.65","8841.95","8945.30"
"28 Sep 2021","8906.65","8908.25","8751.4","8842.20"
"27 Sep 2021","9007.35","9017.35","8855.55","8885.50"
"24 Sep 2021","9163.8","9186","8977.2","8998.75"
"23 Sep 2021","9106.85","9144.65","9073.85","9135.00"
"22 Sep 2021","9039.05","9090.35","9026.5","9066.10"
"21 Sep 2021","8937.05","9042.75","8876.6","9031.00"
"20 Sep 2021","9053.45","9091.85","8913.3","8944.70"
"17 Sep 2021","9228.6","9232.05","9072.4","9106.00"
"16 Sep 2021","9222.55","9245.45","9183.8","9200.05"
"15 Sep 2021","9195.25","9218.25","9166.15","9208.20"
"14 Sep 2021","9172.2","9203.1","9140.45","9162.05"
"13 Sep 2021","9113.9","9145.55","9085.05","9134.55"
"09 Sep 2021","9103","9110.55","9070.8","9106.30"
"08 Sep 2021","9163.4","9170.1","9067.6","9125.15"
"07 Sep 2021","9235.75","9237.85","9120.55","9151.10"
"06 Sep 2021","9264.25","9273.9","9200.65","9220.00"
"03 Sep 2021","9253.6","9275.15","9182.95","9229.60"
"02 Sep 2021","9193.35","9262.95","9189.4","9219.30"
"01 Sep 2021","9187.1","9225.95","9139.2","9166.80"
"31 Aug 2021","9058.5","9171.15","9053.75","9163.25"
"30 Aug 2021","8931.65","9067.7","8919.9","9036.35"
"27 Aug 2021","8824.15","8926.15","8800.95","8914.50"
"26 Aug 2021","8865.95","8880.35","8792.85","8812.15"
"25 Aug 2021","8911.3","8923.8","8837.15","8866.70"
"24 Aug 2021","8825.8","8908.25","8740.1","8896.40"
"23 Aug 2021","8910.15","8939.55","8754.75","8783.90"
"20 Aug 2021","8936.75","9011.05","8784.9","8820.60"
"18 Aug 2021","9008.05","9062.15","8977.75","8999.60"
"17 Aug 2021","8859.85","9009.5","8857.3","9001.90"
"16 Aug 2021","8850.3","8879.75","8805.8","8849.70"
"13 Aug 2021","8879","8917.55","8799.8","8826.45"
"12 Aug 2021","8933.1","8934.45","8849.7","8893.65"
"11 Aug 2021","9027.4","9030.45","8819.7","8928.75"
"10 Aug 2021","9056.2","9084.65","8947.05","9036.75"
"09 Aug 2021","9052","9054.9","8954.85","9020.80"
"06 Aug 2021","-","-","-","9007.81"
"05 Aug 2021","-","-","-","9028.75"
"04 Aug 2021","-","-","-","9008.26"
"03 Aug 2021","-","-","-","9059.96"
"02 Aug 2021","-","-","-","8973.61"
"30 Jul 2021","-","-","-","8923.04"
"29 Jul 2021","-","-","-","8675.98"
"28 Jul 2021","-","-","-","8699.28"
"27 Jul 2021","-","-","-","8754.07"
"26 Jul 2021","-","-","-","9038.47"
"23 Jul 2021","-","-","-","8978.93"
"22 Jul 2021","-","-","-","8975.45"
"20 Jul 2021","-","-","-","8908.01"
"19 Jul 2021","-","-","-","9004.93"
"16 Jul 2021","-","-","-","8974.75"
"15 Jul 2021","-","-","-","8892.89"
"14 Jul 2021","-","-","-","8909.90"
"13 Jul 2021","-","-","-","8884.19"
"12 Jul 2021","-","-","-","8856.00"
"09 Jul 2021","-","-","-","8844.29"
"08 Jul 2021","-","-","-","8794.28"
"07 Jul 2021","-","-","-","8891.51"
"06 Jul 2021","-","-","-","8871.51"
"05 Jul 2021","-","-","-","8921.53"
"02 Jul 2021","-","-","-","8915.53"
"01 Jul 2021","-","-","-","8850.40"
"30 Jun 2021","-","-","-","8791.88"
"29 Jun 2021","-","-","-","8772.75"
"28 Jun 2021","-","-","-","8708.25"
"25 Jun 2021","-","-","-","8607.62"
"24 Jun 2021","-","-","-","8495.59"
"23 Jun 2021","-","-","-","8516.17"
"22 Jun 2021","-","-","-","8548.66"
"21 Jun 2021","-","-","-","8538.45"
"18 Jun 2021","-","-","-","8498.02"
"17 Jun 2021","-","-","-","8539.76"
"16 Jun 2021","-","-","-","8629.15"
"15 Jun 2021","-","-","-","8675.54"
"14 Jun 2021","-","-","-","8746.87"
"11 Jun 2021","-","-","-","8736.64"
"10 Jun 2021","-","-","-","8665.72"
"09 Jun 2021","-","-","-","8545.65"
"08 Jun 2021","-","-","-","8578.71"
"07 Jun 2021","-","-","-","8490.34"
"04 Jun 2021","-","-","-","8487.59"
"03 Jun 2021","-","-","-","8502.26"
"02 Jun 2021","-","-","-","8492.19"
"01 Jun 2021","-","-","-","8433.75"
"31 May 2021","-","-","-","8415.23"
"28 May 2021","-","-","-","8354.15"
"27 May 2021","-","-","-","8452.12"
"26 May 2021","-","-","-","8475.65"
"25 May 2021","-","-","-","8443.79"
"24 May 2021","-","-","-","8441.19"
"21 May 2021","-","-","-","8389.73"
"20 May 2021","-","-","-","8354.50"
"19 May 2021","-","-","-","8367.68"
"18 May 2021","-","-","-","8275.87"
"17 May 2021","-","-","-","8278.96"
"14 May 2021","-","-","-","8280.72"
"12 May 2021","-","-","-","8397.39"
"11 May 2021","-","-","-","8427.30"
"10 May 2021","-","-","-","8459.94"
"07 May 2021","-","-","-","8266.57"
"06 May 2021","-","-","-","8250.83"
"05 May 2021","-","-","-","8273.37"
"04 May 2021","-","-","-","7990.74"
"03 May 2021","-","-","-","8122.88"
"30 Apr 2021","-","-","-","8069.03"
"29 Apr 2021","-","-","-","7995.46"
"28 Apr 2021","-","-","-","7972.67"
"27 Apr 2021","-","-","-","7991.20"
"26 Apr 2021","-","-","-","7936.11"
"23 Apr 2021","-","-","-","7994.68"
"22 Apr 2021","-","-","-","8026.10"
"20 Apr 2021","-","-","-","8061.98"
"19 Apr 2021","-","-","-","7964.79"
"16 Apr 2021","-","-","-","7942.87"
"15 Apr 2021","-","-","-","7800.45"
"13 Apr 2021","-","-","-","7717.10"
"12 Apr 2021","-","-","-","7789.63"
"09 Apr 2021","-","-","-","7825.97"
"08 Apr 2021","-","-","-","7637.21"
"07 Apr 2021","-","-","-","7616.85"
"06 Apr 2021","-","-","-","7542.36"
"05 Apr 2021","-","-","-","7400.64"
"01 Apr 2021","-","-","-","7386.47"
"31 Mar 2021","-","-","-","7328.48"
"30 Mar 2021","-","-","-","7294.99"
"26 Mar 2021","-","-","-","7118.01"
"25 Mar 2021","-","-","-","7074.38"
"24 Mar 2021","-","-","-","7146.66"
"23 Mar 2021","-","-","-","7159.38"
"22 Mar 2021","-","-","-","7112.85"
"19 Mar 2021","-","-","-","7026.11"
"18 Mar 2021","-","-","-","6956.38"
"17 Mar 2021","-","-","-","7096.12"
"16 Mar 2021","-","-","-","7235.99"
"15 Mar 2021","-","-","-","7214.61"
"12 Mar 2021","-","-","-","7281.77"
"10 Mar 2021","-","-","-","7329.69"
"09 Mar 2021","-","-","-","7251.83"
"08 Mar 2021","-","-","-","7295.58"
"05 Mar 2021","-","-","-","7266.17"
"04 Mar 2021","-","-","-","7371.88"
"03 Mar 2021","-","-","-","7379.32"
"02 Mar 2021","-","-","-","7319.99"
"01 Mar 2021","-","-","-","7238.57"
"26 Feb 2021","-","-","-","7135.57"
"25 Feb 2021","-","-","-","7239.13"
"24 Feb 2021","-","-","-","7183.61"
"23 Feb 2021","-","-","-","7162.00"
"22 Feb 2021","-","-","-","7155.68"
"19 Feb 2021","-","-","-","7307.99"
"18 Feb 2021","-","-","-","7421.87"
"17 Feb 2021","-","-","-","7484.93"
"16 Feb 2021","-","-","-","7575.09"
"15 Feb 2021","-","-","-","7527.75"
"12 Feb 2021","-","-","-","7489.80"
"11 Feb 2021","-","-","-","7575.50"
"10 Feb 2021","-","-","-","7571.28"
"09 Feb 2021","-","-","-","7541.08"
"08 Feb 2021","-","-","-","7593.54"
"05 Feb 2021","-","-","-","7580.26"
"04 Feb 2021","-","-","-","7498.89"
"03 Feb 2021","-","-","-","7479.46"
"02 Feb 2021","-","-","-","7293.66"
"01 Feb 2021","-","-","-","7164.47"
"29 Jan 2021","-","-","-","7167.96"
"28 Jan 2021","-","-","-","7295.73"
"27 Jan 2021","-","-","-","7350.70"
"25 Jan 2021","-","-","-","7501.19"
"22 Jan 2021","-","-","-","7400.12"
"21 Jan 2021","-","-","-","7468.36"
"20 Jan 2021","-","-","-","7583.14"
"19 Jan 2021","-","-","-","7574.29"
"18 Jan 2021","-","-","-","7462.09"
